Date;Trips
2015-01-09;129
2015-01-10;122
2015-01-11;81
2015-01-12;126
2015-01-13;95
2015-01-14;110
2015-01-15;155
2015-01-16;127
2015-01-17;135
2015-01-18;115
2015-01-19;77
2015-01-20;107
2015-01-21;100
2015-01-22;104
2015-01-23;152
2015-01-24;103
2015-01-25;98
2015-01-26;120
2015-01-27;107
2015-01-28;123
2015-01-29;131
2015-01-30;127
2015-01-31;117
2015-02-01;90
2015-02-02;95
2015-02-03;138
2015-02-04;105
2015-02-05;149
2015-02-06;129
2015-02-07;119
2015-02-08;116
2015-02-09;136
2015-02-10;123
2015-02-11;132
2015-02-12;111
2015-02-13;163
2015-02-14;162
2015-02-15;92
2015-02-16;100
2015-02-17;123
2015-02-18;124
2015-02-19;129
2015-02-20;178
2015-02-21;159
2015-02-22;113
2015-02-23;119
2015-02-24;142
2015-02-25;128
2015-02-26;149
2015-02-27;165
2015-02-28;162
2015-03-01;124
2015-03-02;89
2015-03-03;114
2015-03-04;115
2015-03-05;146
2015-03-06;167
2015-03-07;133
2015-03-08;130
2015-03-09;122
2015-03-10;112
2015-03-11;113
2015-03-12;138
2015-03-13;155
2015-03-14;225
2015-03-15;115
2015-03-16;110
2015-03-17;114
2015-03-18;117
2015-03-19;134
2015-03-20;152
2015-03-21;155
2015-03-22;120
2015-03-23;130
2015-03-24;123
2015-03-25;125
2015-03-26;146
2015-03-27;152
2015-03-28;148
2015-03-29;105
2015-03-30;95
2015-03-31;112
2015-04-01;107
2015-04-02;107
2015-04-03;133
2015-04-04;98
2015-04-05;119
2015-04-06;105
2015-04-07;111
2015-04-08;110
2015-04-09;133
2015-04-10;141
2015-04-11;127
2015-04-12;122
2015-04-13;103
2015-04-14;122
2015-04-15;137
2015-04-16;129
2015-04-17;159
2015-04-18;158
2015-04-19;107
2015-04-20;131
2015-04-21;135
2015-04-22;134
2015-04-23;124
2015-04-24;161
2015-04-25;145
2015-04-26;113
2015-04-27;117
2015-04-28;129
2015-04-29;149
2015-04-30;126
2015-05-01;167
2015-05-02;142
2015-05-03;134
2015-05-04;118
2015-05-05;131
2015-05-06;125
2015-05-07;153
2015-05-08;142
2015-05-09;125
2015-05-10;104
2015-05-11;116
2015-05-12;132
2015-05-13;129
2015-05-14;159
2015-05-15;177
2015-05-16;155
2015-05-17;160
2015-05-18;158
2015-05-19;137
2015-05-20;126
2015-05-21;130
2015-05-22;143
2015-05-23;120
2015-05-24;111
2015-05-25;76
2015-05-26;109
2015-05-27;108
2015-05-28;139
2015-05-29;139
2015-05-30;168
2015-05-31;131
2015-06-01;132
2015-06-02;139
2015-06-03;120
2015-06-04;131
2015-06-05;129
2015-06-06;136
2015-06-07;111
2015-06-08;102
2015-06-09;123
2015-06-10;122
2015-06-11;149
2015-06-12;150
2015-06-13;186
2015-06-14;144
2015-06-15;131
2015-06-16;132
2015-06-17;132
2015-06-18;133
2015-06-19;155
2015-06-20;138
2015-06-21;96
2015-06-22;105
2015-06-23;118
2015-06-24;133
2015-06-25;130
2015-06-26;135
2015-06-27;138
2015-06-28;117
2015-06-29;99
2015-06-30;114
2015-07-01;94
2015-07-02;105
2015-07-03;116
2015-07-04;127
2015-07-05;106
2015-07-06;112
2015-07-07;102
2015-07-08;106
2015-07-09;124
2015-07-10;137
2015-07-11;129
2015-07-12;94
2015-07-13;72
2015-07-14;83
2015-07-15;81
2015-07-16;114
2015-07-17;114
2015-07-18;113
2015-07-19;124
2015-07-20;90
2015-07-21;90
2015-07-22;113
2015-07-23;125
2015-07-24;145
2015-07-25;129
2015-07-26;108
2015-07-27;113
2015-07-28;120
2015-07-29;122
2015-07-30;131
2015-07-31;145
2015-08-01;141
2015-08-02;128
2015-08-03;115
2015-08-04;110
2015-08-05;120
2015-08-06;111
2015-08-07;141
2015-08-08;115
2015-08-09;112
2015-08-10;91
2015-08-11;102
2015-08-12;103
2015-08-13;141
2015-08-14;119
2015-08-15;116
2015-08-16;116
2015-08-17;99
2015-08-18;100
2015-08-19;119
2015-08-20;141
2015-08-21;125
2015-08-22;126
2015-08-23;107
2015-08-24;101
2015-08-25;87
2015-08-26;95
2015-08-27;93
2015-08-28;118
2015-08-29;111
2015-08-30;115
2015-08-31;81
2015-09-01;104
2015-09-02;94
2015-09-03;107
2015-09-04;136
2015-09-05;99
2015-09-06;107
2015-09-07;76
2015-09-08;100
2015-09-09;96
2015-09-10;116
2015-09-11;140
2015-09-12;104
2015-09-13;111
2015-09-14;96
2015-09-15;115
2015-09-16;97
2015-09-17;120
2015-09-18;129
2015-09-19;118
2015-09-20;111
2015-09-21;87
2015-09-22;115
2015-09-23;91
2015-09-24;114
2015-09-25;138
2015-09-26;106
2015-09-27;97
2015-09-28;85
2015-09-29;141
2015-09-30;122
2015-10-01;129
2015-10-02;131
2015-10-03;132
2015-10-04;106
2015-10-05;102
2015-10-06;103
2015-10-07;121
2015-10-08;82
2015-10-09;121
2015-10-10;117
2015-10-11;90
2015-10-12;101
2015-10-13;122
2015-10-14;111
2015-10-15;107
2015-10-16;144
2015-10-17;109
2015-10-18;106
2015-10-19;79
2015-10-20;116
2015-10-21;137
2015-10-22;116
2015-10-23;122
2015-10-24;117
2015-10-25;83
2015-10-26;102
2015-10-27;98
2015-10-28;116
2015-10-29;115
2015-10-30;124
2015-10-31;114
2015-11-01;128
2015-11-02;88
2015-11-03;103
2015-11-04;111
2015-11-05;117
2015-11-06;129
2015-11-07;117
2015-11-08;99
2015-11-09;115
2015-11-10;98
2015-11-11;114
2015-11-12;124
2015-11-13;133
2015-11-14;98
2015-11-15;76
2015-11-16;116
2015-11-17;112
2015-11-18;116
2015-11-19;132
2015-11-20;139
2015-11-21;114
2015-11-22;77
2015-11-23;91
2015-11-24;79
2015-11-25;95
2015-11-26;45
2015-11-27;88
2015-11-28;93
2015-11-29;76
2015-11-30;105
2015-12-01;81
2015-12-02;126
2015-12-03;133
2015-12-04;142
2015-12-05;113
2015-12-06;98
2015-12-07;92
2015-12-08;98
2015-12-09;112
2015-12-10;125
2015-12-11;143
2015-12-12;120
2015-12-13;101
2015-12-14;100
2015-12-15;116
2015-12-16;122
2015-12-17;135
2015-12-18;132
2015-12-19;102
2015-12-20;72
2015-12-21;78
2015-12-22;77
2015-12-23;92
2015-12-24;60
2015-12-25;19
2015-12-26;49
2015-12-27;55
2015-12-28;100
2015-12-29;77
2015-12-30;87
2015-12-31;94
2016-01-01;96
2016-01-02;76
2016-01-03;72
2016-01-04;75
2016-01-05;83
2016-01-06;89
2016-01-07;85
2016-01-08;100
2016-01-09;88
