Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
4;1304;Dortmund-Dorstfeld;Aufzug zum Eingangsbereich;10572374;HA 1122 Personenaufzug  Gl.1 Aufzug C;44149;Dortmund;;Fa. Schindler;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
4;3529;Velbert-Langenberg;Bahnsteig 01 Ri Essen;10280470;Aufzug HA 0017 (Fabr.Nr. 5942005);42555;Velbert-Langenberg;;Kone;2003;Personenaufzüge;SEIL;2;2;2;10000;62500;;10000000;;10000000;21870000;10400000;23180000;zu Gleis 1;23230000;5942005;ZS2;7,1224968;51,3547337;;
6;6687;Wernau (Neckar);Bahnsteig 01;10436607;PAufzug_HA0330_Bstg.1;73249;Wernau;BSTG 1;Thyssen Krupp;2009;Personenaufzüge;SEIL;2;2;2;10000;58100;1;10500000;;;;;;zu Gleis 1;;287009029;;9,4136323;48,6940634;;
4;5160;Recklinghausen Hbf;Bahnsteig 2 - Gleis 2/4;10567642;Personenaufzug - Bstg 2 (wto);45657;Recklinghausen;MITTELBAHNSTEIG;Schindler;2018;Personenaufzüge;SEIL;2;2;2;5000;50750;;10000000;GL2/4;9000000;21000000;11000000;22000000;von PU zu Bstg 2;21000000;;;7,2033925;51,6161319;;
7;2993;Ingolstadt Hbf;Bahnsteig D, Gleis 6/7;10479466;Personenaufzüge Bstg D, Gl 6/7;85051;Ingolstadt;BAHNSTEIG D, GLEIS 6/7 MITTE;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;2;2;;48000;GLEIS 6/7;13500000;BAHNSTEIGMITTE;10000000;21000000;16000000;21000000;zu Gleis 6/7;21000000;285212042;;11,437777;48,7442243;;
6;2906;Horb;Bahnsteig C - Gleis 5a, 5b / 6;10123096;PAufzug_HA0122_Bstg. C;72160;Horb;PERSONENAUFZUG HA 0122;Haushahn GmbH & Co. KG;2000;Personenaufzüge;HYDRAULISCH;2;2;2;6300;37300;UNTERF. / BSTG. GL. 4+5;8000000;;;;;;zu Gleis 5/6;;;;8,6890252;48,4413281;;
7;3155;Kempten (Allgäu) Hbf;Empfangsgebäude;10034416;Personenaufzug HA 3038;87435;Kempten;VERWALTUNG;Beck + Henkel/Thyssen;1968;Personenaufzüge;SEIL;4;1;2;8000;120000;OBEN;9000000;TREPPENHAUS BAHNHOFSMISSION;8000000;21100000;10100000;21000000;Empfangshalle - 1.OG - 2.OG;20000000;21078100;ES2;10,317;47,712;;
4;6928;Wuppertal-Oberbarmen;Bahnsteig 03;10349186;Aufzug Gl 5/6 HA 1065;42277;Wuppertal;GLEIS 5/6 ZUR PERS-UNTERFÜHRG;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;2;4;10000;40500;;6300000;;9060000;14660000;10910000;20980000;zu Gleis 5/6;19970000;47KAG385;ES2;7,2215438;51,2737806;;
6;1469;Efringen-Kirchen;Bstg 2, Gl. 4+5;10493118;PAufzug_Efringen-Kirchen_Bstg. 2;79588;Efringen-Kirchen;BSTG. 4/5;Schindler GmbH;2015;Personenaufzüge;SEIL;2;;2;10000;43200;;10000000;;1000000;;;;zu Gleis 4/5;2100000;10750280;;7,56402;47,6556;;
6;5242;Reutlingen Hbf;Bahnsteig 1;10300613;PAufzug_HA0383_Bstg.1;72764;Reutlingen;BAHNSTEIG 1;Schindler GmbH;2005;Personenaufzüge;SEIL;2;;;;39800;;10500000;;;;;;zu Gleis 1;;;;9,209621;48,4963183;;
4;1062;Coesfeld (Westf);Bahnsteig 1;10468480;Personenaufzug Bstg. 1 Gleis 3;48653;Coesfeld;BAHNSTEIG 1;Thyssen Krupp (Tepper);2012;Personenaufzüge;SEIL;2;;;;;;;GL3;9000000;21000000;11000000;22500000;zu Gleis 3;21000000;282210070;;7,1641789;51,9393288;;
7;3010;Ismaning;Bahnsteiggeschoss 1.UG;10473103;HA 0188 Personenaufzug Gl. 1/2;85737;Ismaning;MITTELBAHNSTEIG;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2;1;2;10000;60300;UNTERFÜHRHUNG;10000000;BAHNSTEIGENDE;10000000;21000000;14000000;21500000;zu Gleis 1/2 (S-Bahn);20000000;47KAL968;ZS2;11,6792939;48,225099;;
4;5844;Siegen-Weidenau;Empfangshalle;10282842;Personenaufzug / Behindertenaufzug;57076;Siegen;SIEGEN WEIDENAU EG - HALLE;LIFTTEC GmbH / Pfaffenweiler;2001;Personenaufzüge;SEIL;2;2;;500;36500;;3000000;;;;;;von Empfangshalle zu Tunnel;;;;8,029504797;50,89597478;;
2;2073;Gera Hbf;Bahnsteig  3 a,b / 4 a,b;10261469;Personenaufzug;7545;Gera;;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;2;2;10000;67500;BAHNSTEIG-ÖPNV;10700000;;;;;;zu Gleis 3/4;;;;12,07676054;50,88257619;;
3;4787;Osnabrück Hbf;Aufzugsschacht;10086276;Personenaufzug Gl.13/14 (47 KAE 850);49074;Osnabrück;BSTG 1 NACH BSTG 13/14;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2;2;2;10000;54400;FAHRSTUHLSCHACHT;20000000;BAHNSTEIG 13/14 ZU BAHNSTEIG 1;10000000;29200000;13400000;22000000;von Gleis 13/14 zu Gleis 1;21000000;47KAE850;;8,0614561;52,2731968;;
7;4064;Mering;Bahnsteig 01 Hausbahnsteig ohne Zughalte;10322610;Aufzug zum Hausbahnsteig;86415;Mering;UNTERFÜHRUNG-HAUSBAHNSTEIG;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2;2;2;;45000;BAHNSTEIG;;UNTERFÜHRUNG;10000000;21000000;11000000;22000000;von EG zu Tunnel;21000000;47NAE798;ZS2;10,988548;48,2629252;;
6;3211;Kißlegg;Bahnsteig 2;10529540;Aufzug Bstg 2/3 zur BUF;88353;Kißlegg;;Schindler;2020;Personenaufzüge;SEIL;2;2;2;10000;40200;;10500000;;;;;;zu Bstg 2/3;21000000;11264005;;47.79353;9.88215;;
4;6701;Wesel;Gl. 4+5;10426370;Personenaufzug;46483;Wesel;BAHNSTEIG 2 GL. 4/5;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2;1;1;10000;44100;;10250000;;;;;;zu Gleis 4/5;;;;6,6272226;51,6557496;;
6;5699;Schwäbisch Gmünd;Bahnsteig 02;10483562;PAufzug_Schwäbisch Gmünd_Bstg.2;73525;Schwäbisch Gmünd;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;2;2;10000;;;;;;;;;zu Gleis 2/4;;287413036;;9,7875127;48,8010451;;
5;2892;Homburg (Saar) Hbf;Bahnsteig 5/6;10354591;Personenaufzug Gl.5/6 46101-003;66424;Homburg (Saar);HA 9013;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;2;2;10000;37300;;13000000;;;;;;zu Gleis 4/5;;;;7,3366706;49,3279179;;
2;2194;Görlitz;Bahnsteig 11/12;10470157;Personenaufzug Bstg. 11/12 neu;2826;Görlitz;BSTG. 11/12;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;2;10000;67500;ZUGANG IM PTU;10700000;;;;;;zu Gleis 11/12;;;;14,9790628;51,1463479;;
3;3807;Lübeck Hbf;Bahnsteig 2 Gl. 4/5;10039761;Personenaufzug HA 154;23558;Lübeck;BSTG 2;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;1;2;10000;67100;OBEN;18250000;;;;;;zu Gleis 4/5;;;;10,6699413;53,8675129;;
5;5739;Schweich DB;Bahnsteig 02-Gleis 2/3;10594275;Aufzug Bstg 2;54338;Schweich;;Schindler Aufzüge und Fahrtrep;2019;Personenaufzüge;SEIL;2;2;;10000;41200;;10000000;;10000000;;;22000000;;21000000;11168094;;;;;
7;6891;Wörth (Isar);Bahnsteig Gleis 3;10565079;Personenaufzug Bahnsteig Gl.3;84109;Wörth an der Isar;BAHNSTEIG GL 3;Schindler Berlin;2019;Personenaufzüge;SEIL;2;2;2;10000;76450;;10500000;GLEIS 3 UND AUSGANG;10000000;21000000;11000000;22000000;Gleis 3 und Ausgang;21000000;11085234;ZS2;12,333027;48,624323;;
7;5464;Sachsen (b Ansbach);Bahnsteig 01 Ri Nbg.( Gl.1 )  192 mtr.;10464507;Personenaufzug Bstg 1 (HA4032);91623;Sachsen (b Ansbach);BST 1 GL 1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2;2;2;;46000;GLEIS 1;10500000;BAHNSTEIGMITTE;10000000;21000000;11000000;22000000;zu Gleis 1;21000000;285111013;ZS2;10,5776623;49,2981924;;
1;4809;Ostkreuz;Fernbahnsteig Gl. 7 /Bahnsteig Rn2 unten;10563637;AZ 1A zu 11/12 /Fabrik-Nr.: 11117302;10245;Berlin;;Schindler GmbH;2018;Personenaufzüge;SEIL;2;2;2;10000;77100;;10500000;;;;;;von Gleis 7 zu Gleis 11/12;;11117302;ZS2;13,46949;52,50342;;
7;2014;Garmisch-Partenkirchen;Bstg. 1, Hausbahnsteig;10445190;Personenaufzug HA3044;82467;Garmisch-Partenkirchen;BSTG. 1, HAUSBAHNSTEIG;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2;2;2;10000;40000;NÖRDLICH UNTERFÜHRUNG;10700000;GEGENÜBER TREPPE;10000000;21000000;11000000;21000000;zu Gleis 1;20000000;47NAM511;ZS2;11,0972464;47,4915319;;
2;973;Burg (b Magdeburg);Bahnsteig 2 / 3;10468983;Personenaufzug Bstg 2/3;39288;Burg;BAHNSTEIG 2/3;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;2;10000;45000;;6750000;;;;;;zu Gleis 2/3;;;;11,84017243;52,27439656;;
6;277;Bad Friedrichshall Hbf;Bahnsteig A 1;10492305;PAufzug_Thyssen_Bstg.1;74177;Bad Friedrichshall;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2;2;2;;41900;;10500000;;;;;;zu Gleis 1;;;;9,1998994;49,2318836;;
5;7170;Offenbach Ledermuseum;S-Bahnsteig;10463632;Personenaufzug_HA 252_46101-001;63065;Offenbach (Main);OST A<>B;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;2;10000;50000;NEBEN;6750000;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,7485095;50,1058686;;
2;2017;Markkleeberg-Gaschwitz;Gaschwitz Bahnsteig 1/2;10502673;Personenaufzug Straßenseite;4416;Markkleeberg OT Gaschwitz;;Schindler Aufzüge GmbH;2019;Personenaufzüge;SEIL;2;2;2;;;;;;;;;;zur Unterführung;;;;12.3794673;51.2498750;;
7;2058;Geltendorf;Bahnsteig C,  Gl. 4/5;10334099;HA 1042 Personenaufzug Gleis 4/5;82269;Geltendorf;BSTG.C,DACH,GL.4/5;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2;1;2;10000;42000;GLEIS 4/5;14000000;BAHNSTEIGMITTE;11000000;21000000;14000000;22000000;zu Gleis 4/5;21000000;47KAE359;ZS2;11,0374193;48,1059044;;
4;1306;Dortmund-Hörde;Bstg.1,Gl.1=Ri Dortmund/Gl.2=Ri Unna,;10443274;HA       Aufzug #486 Bstg Gl 1/ 2;44263;Dortmund;;;2012;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 1/2;;;;7,4990843;51,4879828;;
4;622;Bielefeld Hbf;Bahnsteig 3/4;10359075;Personenaufzug Gleis 3/4;33602;Bielefeld;;Thyssen Krupp;2005;Personenaufzüge;SEIL;2;2;2;;;;;"UG ; GL 3+4";10000000;21000000;11000000;23000000;zu Gleis 3/4;21000000;216161115;ZS2;8,5325549;52,029471;;
2;5084;Radebeul Ost;Bahnsteig 1 / 2;10486817;Personenaufzüge Bstg1/2;1445;Radebeul;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;1;2;;;AUßEN;;;;;;;zu Gleis 1/2;;;;13,6796243;51,0984532;;
1;5755;Schwerin Hbf;Bahnsteig  1/2;10308251;AZ Bahnsteig 1/2 241502061;19053;Schwerin;BAHNSTEIG 1/2;Thyssen Krupp;2006;Personenaufzüge;SEIL;2;1;2;10000;46000;BAHNSTEIG 1/2 SÜDENDE;10000000;"TUNNEL; GL 1/2";10000000;11000000;21000000;23000000;zu Gleis 1/2;21000000;241502061;ES2;11,4076504;53,6342718;;
4;1374;Duisburg Hbf;Drogeriemarkt;10793990;Lastenaufzug DM Drogerie;47051;Duisburg;DM DROGERIE;Janzhoff Aufzüge;1996;Personenaufzüge;HYDRAULISCH;2;1;;;;;10000000;;;;;;;;;;;;;
5;4364;Neubrücke (Nahe);Bahnsteig 2;10138744;Personenaufzug (HA MZ 42 Gl.2/3);55768;Hoppstädten-Weiersbach;;Thyssen Krupp;2004;Personenaufzüge;SEIL;2;1;2;10000;41100;;10500000;;;;;;zu Gleis 2/3;;;;7,1725886;49,6059312;;
4;1710;Essen-Steele;Personenaufzug Bstg. 2- Tunnel;10534644;Personenaufzug HA 0009 Bstg. 2;45276;Essen;;Schindler GmbH;2018;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 103/104;;;;7,0760577;51,450413;;
6;6464;Waghäusel;Bahnsteig B -- Gleis 1 -- Ri Karlsruhe;10501577;Waghäusel Aufzug Bstg 1 Ri Karlsruhe;68753;Waghäusel;AUFZUG GLEIS 1;Schindler;2019;Personenaufzüge;SEIL;2;2;2;10000;43500;;10500000;;;;;22000000;zu Gleis 1;;11035006;;8.50810;49.24816;;
6;4922;Pforzheim Hbf;Bahnsteig C -- Gleis 4/5;10463849;PAufzug_Bstg. 4/5;75175;Pforzheim;AUFZUG BSTG. 4/5;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 4/5;;;;8,7029818;48,8941369;;
4;3328;Köln-Dellbrück;S-Bahnsteig 02;10035665;HA 0017 Aufzugsanlage;51069;Köln;GLEIS 1;THYSSEN;1990;Personenaufzüge;SEIL;2;1;2;6000;47200;;6300000;;;;;;zu Gleis 2 (S-Bahn);;;;7,070282404;50,98140586;;
7;187;Aschaffenburg Hbf;Aufzugsschacht 01+02 (alle Etagen);10463676;Personenaufzug 334255 (Wartung bei Fäth);63739;Aschaffenburg;EG AUFZUGSSCHACHT 01;Schmitt & Sohn;2010;Personenaufzüge;SEIL;7;1;7;;;EMPFANGSGEBÄUDE;10000000;PARKHAUS EMPFANGSGEBÄUDE;11000000;23000000;12000000;22100000;von Empfangshalle zu Parkhaus;21000000;334254;ES2;9,1437726;49,981403;;
1;6998;Zepernick (b Bernau);S-Bahnsteig 01;10444451;AZ Gl. 1-2 / Fabrik-Nr: 284009047;16341;Panketal;;Thyssen Krupp;2010;Personenaufzüge;SEIL;3;2;3;10000;59100;INNEN;10500000;"GL1/2;AUSGANG";10000000;21000000;11000000;22500000;zu Gleis 1/2 (S-Bahn);21000000;284009047;ES2;13,5331;52,6592803;;
5;488;Bensheim;Bahnsteig 1, Gleis 1/2;10431357;Aufzug HA 318 Gleis 1/2;64625;Bensheim;AUFZUG HA 318 GLEIS 1/2;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2;2;2;10000;50000;;10700000;;;;;;zu Gleis 1/2;;;;8,6169504;49,6805221;;
6;5377;Rot-Malsch;Bahnsteig 02;10257849;PAufzug_Thyssen 23 13 22 130_Bstg.2;69254;Malsch;BAHNSTEIG 2;Thyssen Krupp;2003;Personenaufzüge;SEIL;2;2;2;10000;45500;AUßEN;10500000;BAHNSTEIG 2;;;;;zu Gleis 2/3;;231322130;;8,6522705;49,2431684;;
2;3645;Leipzig-Plagwitz;Leipzig-Plagwitz Bahnsteig 2;10473743;Personenaufzug_Bstg 2;4229;Leipzig;AUßENBAHNSTEIG 2;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2;1;2;10000;62700;;;;;;;;zu Gleis 2;;;;12,3221404;51,3286666;;
3;2544;Hannover Bismarckstraße;Bahnsteig Gleis 3/4;10092643;Personenaufzug Nr. 21288 Bstg Gl 3/4;30173;Hannover;BSTG GL 3/4;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2;1;2;3900;63000;;10000000;;10000000;15000000;14000000;22000000;zu Gleis 3/4;21000000;21288;;9,7697042;52,3567864;;
4;2054;Gelsenkirchen-Buer Nord;Personenaufzug HA 0026;10071230;Personenaufzug HA 0026;45894;Gelsenkirchen;BSTG.1-STRASSE;Haushahn GmbH & Co. KG;1999;Personenaufzüge;INDIREKT HYDRAULISCH;2;2;2;5000;51200;NEBEN;9750000;"GL1;AUSG";11000000;18000000;11000000;21500000;zu Gleis 1;21000000;98/1526;ZS2;7,0502123;51,5871851;;
4;4280;Münster (Westf) Hbf;GB 4_N.0.9.3.01_Aufzugschacht_Aufzug 1;10564628;Personenaufzug 1_im TH 1 des GB 4;48143;Münster (Westf);;Schindler;2017;Personenaufzüge;SEIL;2;2;3;;100000;INNELIEGEND;10000000;;;;;;;;10998049;;7,63478;51,95798;;
1;537;Berlin-Charlottenburg;S-Bahnsteig 5/6;10312727;AZ Gl. 5-6 / Fabrik-Nr: 284004023;10627;Berlin;;Thyssen Krupp;2006;Personenaufzüge;SEIL;2;2;2;10000;65300;AUSSEN;13500000;"GL5/6;AUSGANG";10000000;21000000;14000000;23000000;zu Gleis 5/6 (S-Bahn);21000000;284004023;ZS2;13,3057846;52,5052127;;
3;5223;Rendsburg;Bahnsteig 02;10053352;Personenaufzug Tun/Bstg.2 Gl.3/4 HA4184;24768;Rendsburg;TUNNEL/BSTG.2 GL.3/4 HA4184;Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2;1;2;4000;44000;NEBEN;12000000;;;;;;zu Gleis 3/4;;;;9,670615481;54,30280752;;
4;2528;Hamm (Westf) Hbf;Bstg 3, Mittel-Bstg,Gl 3 u. 4,;10565194;HA 359 Aufzug Gleis 3/4;59065;Hamm;HA 359 AUFZUG GLEIS 3/4;Schindler;2017;Personenaufzüge;SEIL;2;2;2;10000;45400;;8250000;;;;;;Gleis 3/4;;;;7,8081199;51,6781716;;
6;6127;Süßen;Bahnsteig 02;10457320;PAufzug_Süßen_Bstg.2;73079;Süßen;ANLAGENNUMMER 287009063;;2011;Personenaufzüge;SEIL;2;2;2;;;;;;;;;;zu Gleis 2/3;;;;9,7606522;48,6834261;;
1;7759;Julius-Leber-Brücke;Bahnsteig 01;10397120;AZ Gl. 1 / Fabrik-Nr: 47NAH774;10829;Berlin;BAHNSTEIG 1;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2;1;2;10000;60500;AUßEN;10500000;"GL1;AUSGANG";10000000;22400000;9500000;23000000;zu Gleis 1 (S-Bahn);21000000;47NAH774;ES2;13,3608731;52,4863855;;
6;6071;Stuttgart Hbf;Personenaufzüge;10060087;PAufzug_HA0231_Turm, Eckaufzug;70173;Stuttgart;TURM (FEUERWEHRAUFZUG);C. Haushahn GmbH & Co. KG;1997;Personenaufzüge;SEIL;12;2;12;12000;510800;INTEGRIERT;12000000;;;;;;;;973141;;9,18289;48,7834;;
1;533;Berlin Zoologischer Garten;Bahnsteig C S-Bahn;10115665;AZ Gl. 5-6 (S-Bahn)/Fabrik-Nr: 244098277;10623;Berlin;BAHNSTEIG C S-BAHN;Thyssen Krupp;1999;Personenaufzüge;SEIL;2;2;2;10000;77400;AUSSEN;6750000;"GL5/6;HAUPTHALLE";9000000;15000000;9600000;21000000;zu Gleis 5/6 (S-Bahn);20000000;244098277;ES2;13,3317048;52,5069821;;
2;8297;Markkleeberg Nord;Bahnsteigsbereich;10479581;Personenaufzug;4416;Markkleeberg;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;zu Gleis 1/2;;;;12,3721449;51,2881173;;
3;5954;Stadthagen;Bahnsteig Gleis 1/2;10097767;Personenaufzug Nr, 21291;31655;Stadthagen;GLEIS 1/2;Tepper Aufzüge GmbH;2000;Personenaufzüge;HYDRAULISCH;2;1;2;3800;40700;;11000000;;10000000;21000000;11000000;22000000;zu Gleis 1/2;21000000;21291;ZS2;9,1885838;52,3327719;;
5;3505;Landau (Pfalz) Hbf;"Bahnsteig 2; Gl.2/3";10472777;Aufzug Bstg.2  47KA415 (extern Fa. Otis);76829;Landau;;Otis;2013;Personenaufzüge;SEIL;2;;;10000;39300;;;;;;;;zu Gleis 2/3;;;;8,1261437;49,197673;;
7;4952;Plattling;Personenunterführung 01;10451546;Personenaufzug Bstg.3 HA 2022;94447;Plattling;BAHNSTEIG 3;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;2;3;10000;33500;GLEIS 3;10500000;BAHNSTEIGMITTE;10000000;21000000;11000000;22000000;zu Gleis 4/5;21000000;285210007;ES2;12,8635182;48,779616;;
3;1810;Flensburg;Bahnsteig 1   Gleis 4-5;10441825;Aufzug Gleis 4/5;24937;Flensburg;GLEIS 4/5;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;1;2;10000;44500;;14250000;;;;;;zu Gleis 4/5;;;;9,4374409;54,7740383;;
6;3109;Karlsruhe-Durlach;Bahnsteig A -- Gleis 1;10286561;PAufzug_Bstg.1;76227;Karlsruhe;HA 0026;ThyssenKrupp Aufzüge GmbH;2004;Personenaufzüge;SEIL;2;1;2;10000;37900;;10500000;;;;;;zu Gleis 1;;231723109;;8,4629476;49,0020318;;
6;5677;Schopfheim;Bahnsteig 02;10319072;PAufzug_Schopfheim_Bstg. 2;79650;Schopfheim;BAHNSTEIG 2;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2;;2;;40100;;10700000;;;;;;zu Gleis 2/3;;;;7,822123999;47,64776678;;
6;3183;Kirchberg (Murr);Bahnsteig 02;10468410;PAufzug_HA0371_Bstg.2;71737;Kirchberg an der Murr;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;;2;;50000;;;;;;;;zu Gleis 2;;287211061;;9,3288629;48,9390913;;
5;597;Betzdorf (Sieg);Bahnsteig 2;10277129;Aufzug, Bstg. 2 (Fab Nr.: 23183)HA 0014;57518;Betzdorf;BAHNSTEIG 2;Tepper Aufzüge GmbH;2003;Personenaufzüge;SEIL;2;2;2;8000;38840;;10650000;;;;;;zu Gleis 102;;;;7,86925;50,7895;;
7;2240;Grafing Bahnhof;Mittelbahnsteig Gleis 2/3 S-Bahn;10025130;HA 0213 Aufzug Gleis 2/3;85567;Grafing;UNTERFÜHRUNG GLEIS 2-3;Rangger;1998;Personenaufzüge;SEIL;2;1;2;6600;42000;GLEIS 2/3;8250000;BAHNSTEIGMITTE;10000000;13500000;14000000;22000000;zu Gleis 2/3 (S-Bahn);21000000;295203;ES2;11,9404105;48,0431419;;
1;5563;Schichauweg;S-Bahnsteig 01;10170302;AZ Gl. 2 / Fabrik-Nr: 28 40 06 114;12307;Berlin;;Thyssen Krupp;2007;Personenaufzüge;SEIL;2;2;2;10000;71500;AUßEN;10500000;"GL2;AUSGANG";9000000;21000000;9600000;21700000;zu Gleis 2 (S-Bahn);20000000;284006114;ES2;13,3896652;52,3983767;;
5;4210;Mühlheim (Main);Personenunterführung;10463629;Personen HA 249  46101-002;63165;Mühlheim (Main);VORPLATZ / BSTG. 1;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;2;10000;70000;;6750000;;;;;;von EG zu Tunnel;;;;8,8377715;50,1194644;;
7;4051;Memmingen;Bahnsteig C;10495164;Personenaufzug Bstg. C , HA 3031;87700;Memmingen;AUFZUG BAHNSTEIG C;Schindler GmbH;2015;Personenaufzüge;SEIL;2;2;2;;;;10000000;;10000000;21000000;;22000000;zu Gleis 4/5;;10789201;ES2;10,187166;47,9851147;;
4;4219;Mülheim (Ruhr) Hbf;Gl. 1;10461210;Personenaufzug Bstg. 1;45468;Mülheim an der Ruhr;BSTG. 1;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 1/2;;;;6,886385;51,4312735;;
4;1419;Düsseldorf-Reisholz;Bahnsteig 01 (Gl 3 Ri DÂ´dorf);10016282;HA 1090 (Alt 407);40599;Düsseldorf;TUNNEL/BSTG.1;Schmersal Aufzugsservice;1993;Personenaufzüge;HYDRAULISCH;2;2;2;4000;64550;NEBEN;6300000;;;;;;zu Gleis 3;;931006;ES2;6,8617517;51,1801027;;
2;2194;Görlitz;Bahnsteig 7/8;10470156;Personenaufzug Bstg. 7/8 neu;2826;Görlitz;;ThyssenKrupp Aufzüge GmbH;2012;Personenaufzüge;SEIL;2;2;2;10000;67500;ZUGANG IM PTU;10700000;;;;;;zu Gleis 7/8;;;;14,9793272;51,1466713;;
1;530;Berlin Ostbahnhof;IC-Hotel;10609944;AZ -IC Hotel 9593 NRR;10243;Berlin;;Schindler GmbH;1999;Personenaufzüge;SEIL;5;5;5;10000;224600;INNEN;10000000;NRR HOTEL;11000000;13500000;21000000;22000000;;21000000;9593;;;;;
6;6220;Titisee;Titisee, Bahnsteig 2/3;10501622;Titisee Aufzug zum Bstg 2;79822;Titisee-Neustadt;BAHNSTEIG 2;Schindler;2019;Personenaufzüge;SEIL;2;2;2;10000;39530;;10500000;;;;;;zum Gleis 2/3;;11151321;;8.155424;47.903277;;
1;6406;Velten (Mark);Außenanlagen sonstige;10560577;Aufzug Kreisbahnstr. (West);16727;Velten;;Fa. Schindler;2019;Personenaufzüge;SEIL;2;2;;;51300;;10500000;;;;;;;;11171880;;13,17191;52,68475;;
3;2523;Wilhelmsburg;Zugangsanlage;10479687;Personenaufzug HA 025  (Straße);21109;Hamburg;BRÜCKE  STRAßE;ThyssenKrupp Aufzüge GmbH;2013;Personenaufzüge;SEIL;2;1;2;10000;62000;AUßEN;10000000;;;14000000;11000000;21000000;von EG zu Brücke;;281012027;;10,0069427;53,4978177;;
5;7075;Zwingenberg (Bergstr);Bahnsteig 1;10502043;HA 311_Aufzug Bahnsteig 1;64673;Zwingenberg;BAHNSTEIG 1;Schindler;2017;Personenaufzüge;SEIL;2;2;2;10000;48100;;10500000;GLEIS 1;;;;;zu Gleis 1;;10892212;;8,609040731;49,72596873;;
1;803;Botanischer Garten;Bahnsteig 1-2;10192977;AZ Gl. 1-2 / Fabrik-Nr: 284008090;12203;Berlin;;Thyssen Krupp;2009;Personenaufzüge;SEIL;2;2;2;10000;63900;AUßEN;10500000;"GL1/2;AUSGANG";10000000;21000000;11000000;23000000;zu Gleis 1/2 (S-Bahn);21000000;284008090;ZS2;13,305945;52,4475248;;
1;3802;Lübben (Spreewald);Bahnsteig 2/3;10488801;AZ Gl.2-3 HA253 Fab.284013101Tunnel>Bstg;15907;Lübben;TUNNEL > BSTG. 2/3;Thyssen Krupp;2014;Personenaufzüge;SEIL;2;1;2;10000;45770;TUNNEL > BSTG. 2/3;10000000;"BSTG. 2/3; TUNNEL";10000000;21000000;11000000;20500000;zu Gleis 2/3;20000000;284013101;ZS2;13,8775429;51,9393856;;
