Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
4;2438;Gütersloh Hbf;Bahnsteig 3/4;10467887;Personenaufzug Gl 3/4;33330;Gütersloh;GLEIS 3/4;Thyssen Krupp;2011;Personenaufzüge;SEIL;2;2;2;10000;37900;INNEN;10500000;"AUSG. ; GL 3/4";10000000;21000000;11000000;23000000;zu Gleis 3/4;20000000;281510021;ZS2;8,3851385;51,9068958;;
1;6049;Stralsund Hbf;Bahnsteig 04;10609267;AZ  Gl.4 Fab. 20055029;18437;Stralsund;BAHNSTEIG 4;Schindler;2019;Personenaufzüge;SEIL;2;1;2;10000;40400;AUßEN;6300000;"AZ  PU; GL. 1-4";9000000;14000000;11000000;23000000;zu Gleis 1-4;21000000;20055029;;13,078;54,308292;;
3;2545;Hannover Hbf;Bahnsteig Gleis 11/12;10441680;Personenaufzug Gl 11/12 OTIS 47KAL885;30159;Hannover;MALL / GLEIS 7/8;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2;2;4;10000;57200;AUßEN;12750000;;10000000;18000000;12000000;22000000;zu Gleis 11/12;21000000;47KAL885;ZS2;9,7421768;52,3773814;;
4;6914;Wuppertal Hbf;Empfangshalle untere Ebene Mall;10597262;Aufzug B Mall zum Bussteig 3;42103;Wuppertal;EMPFANGSHALLE MITTE;Flügel&Klement GmbH;2017;Personenaufzüge;SEIL;3;2;2;10000;;UNTEN;10000000;;;;;;zum Bussteig 3;;DN 14066-B;ES2;7,1506663;51,2550897;;
7;1059;Coburg;Bahnsteig 1, Gleis 1 Hausbstg;10500663;Aufzug Bstg 1 Gl 1 Hausbahnsteig HA 2043;96450;Coburg;BAHNSTEIG GL 1;Schindler;2018;Personenaufzüge;HYDRAULISCH;2;2;2;;;;10500000;;10000000;21000000;;22000000;Hausbahnsteig, Gleis 1;;10966197;ZS2;10.9577358;50.2628138;;
6;1893;Freiburg (Breisgau) Hbf;Personenaufzug;10021531;PAufzug_Freiburg Hbf_Betriebsgebäude;79098;Freiburg;AUFZUGSRAUM;OTIS;1996;Personenaufzüge;SEIL;4;1;6;6300;174500;;6300000;;;;;;;;;;7,840227;47,997514;;
3;2545;Hannover Hbf;Erdgeschoss;10437285;Personenaufzug  Treppenh. 4 West;30159;Hannover;BT A TREPPENHAUS 4 WEST;OTIS;2000;Personenaufzüge;SEIL;6;1;6;16000;199100;;10000000;;9000000;21000000;11000000;22000000;von UG zu 4.OG;21000000;47KK6771;ZS2;9,74036;52,37692;;
7;4396;Neuhaus (Pegnitz);Bahnsteig 1;10452116;Personenaufzug (HA4033);91284;Neuhaus a.d. Pegnitz;BSTG.;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;2;2;10000;43710;GLEIS 1;10500000;BAHNSTEIGMITTE;10000000;21000000;11000000;22000000;zu Gleis 1;21000000;285110015;ZS2;11,5513914;49,6266265;;
4;4120;Minden (Westf);Haus- und Mittelbahnsteig10/11;10042243;Bstg 11 Personenaufzüge;32423;Minden;;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2;2;;;60000;NEBEN;10000000;"OG ; UG PERSONENTUNNEL";10000000;21000000;11000000;22000000;zu Gleis 10/11;21000000;21293;ZS2;8,9347769;52,2906909;;
6;3379;Kornwestheim Pbf;Bahnsteig 03;10463779;PAufzug_HA0203_Bstg.3;70806;Kornwestheim;BSTG.3 FABR.NR.287010133;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;;10000;42530;;6750000;;;;;;zu Gleis 4/5;;287010132;;9,1799819;48,862051;;
